.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ggal_gut_1	1	1	1	0.25	0.5	1	0.5	1	0.5	0.25
ggal_gut_2	1	1	1	0.25	0.25	1	1	1	0.5	0.25
ggal_liver_1	1	1	1	0.25	0.5	1	0.5	1	0.5	0.25
ggal_liver_2	1	1	1	0.25	0.25	1	1	1	0.5	0.25
ggal_lung_1	1	1	1	0.25	0.5	1	0.5	1	0.5	0.25
ggal_lung_2	1	1	1	0.25	0.25	1	1	1	0.5	0.25
ggal_spleen_1	1	1	1	0.25	0.5	1	0.5	1	0.5	0.25
ggal_spleen_2	1	1	1	0.25	0.25	1	1	1	0.5	0.25
